,field_id,total_scm,collection_date,total_adult_scm,number_seeds,scm_seeds,seed_type
0,POV_DUN,0.0,2023-04-18,,10.0,0.0,Corn
1,POV_DUN,0.0,2023-04-18,2.0,10.0,0.0,Corn
2,POV_DUN,1.0,2023-04-18,,11.0,1.0,Bean
3,POV_DUN,1.0,2023-04-18,2.0,11.0,1.0,Bean
4,DIP_CUR,17.0,2023-04-18,,5.0,0.0,Bean
5,DIP_CUR,17.0,2023-04-18,60.0,5.0,0.0,Bean
6,DIP_CUR,0.0,2023-04-18,,9.0,0.0,Corn
7,DIP_CUR,0.0,2023-04-18,60.0,9.0,0.0,Corn
8,DIP_PAT,0.0,2023-04-18,,10.0,0.0,Corn
9,DIP_PAT,0.0,2023-04-18,72.0,10.0,0.0,Corn
10,DIP_PAT,0.0,2023-04-18,,10.0,0.0,Bean
11,DIP_PAT,0.0,2023-04-18,72.0,10.0,0.0,Bean
12,DIP_FLE,32.0,2023-04-18,,10.0,0.0,Bean
13,DIP_FLE,32.0,2023-04-18,88.0,10.0,0.0,Bean
14,DIP_FLE,2.0,2023-04-18,,9.0,0.0,Corn
15,DIP_FLE,2.0,2023-04-18,88.0,9.0,0.0,Corn
16,GAB_STE,0.0,2023-04-17,,10.0,0.0,Corn
17,GAB_STE,0.0,2023-04-17,5.0,10.0,0.0,Corn
18,GAB_STE,0.0,2023-04-17,,10.0,0.0,Bean
19,GAB_STE,0.0,2023-04-17,5.0,10.0,0.0,Bean
20,GAB_ALL,3.0,2023-04-17,,8.0,1.0,Bean
21,GAB_ALL,3.0,2023-04-17,7.0,8.0,1.0,Bean
22,GAB_ALL,0.0,2023-04-17,,10.0,0.0,Corn
23,GAB_ALL,0.0,2023-04-17,7.0,10.0,0.0,Corn
24,SMI_DOU,0.0,2023-04-17,0.0,9.0,0.0,Bean
25,SMI_DOU,0.0,2023-04-17,,9.0,0.0,Bean
26,SMI_DOU,0.0,2023-04-17,0.0,10.0,0.0,Corn
27,SMI_DOU,0.0,2023-04-17,,10.0,0.0,Corn
28,SMI_LAT,0.0,2023-04-18,17.0,10.0,0.0,Corn
29,SMI_LAT,0.0,2023-04-18,,10.0,0.0,Corn
30,SMI_LAT,0.0,2023-04-18,17.0,10.0,0.0,Bean
31,SMI_LAT,0.0,2023-04-18,,10.0,0.0,Bean
32,SMI_LAT,0.0,2023-04-18,17.0,10.0,0.0,Corn
33,SMI_LAT,0.0,2023-04-18,,10.0,0.0,Corn
34,SMI_HOF,0.0,2023-04-18,8.0,10.0,0.0,Corn
35,SMI_HOF,0.0,2023-04-18,8.0,8.0,0.0,Bean
36,SMI_HOL,0.0,2023-04-17,5.0,9.0,0.0,Corn
37,SMI_HOL,0.0,2023-04-17,,9.0,0.0,Corn
38,SMI_HOL,8.0,2023-04-17,5.0,6.0,0.0,Bean
39,SMI_HOL,8.0,2023-04-17,,6.0,0.0,Bean
40,SMI_CAN,0.0,2023-04-17,23.0,10.0,0.0,Bean
41,SMI_CAN,0.0,2023-04-17,,10.0,0.0,Bean
42,SMI_CAN,0.0,2023-04-17,23.0,10.0,0.0,Corn
43,SMI_CAN,0.0,2023-04-17,,10.0,0.0,Corn
44,SMI_KEL,0.0,2023-04-17,0.0,10.0,0.0,Corn
45,SMI_KEL,0.0,2023-04-17,,10.0,0.0,Corn
46,SMI_KEL,0.0,2023-04-17,0.0,9.0,0.0,Bean
47,SMI_KEL,0.0,2023-04-17,,9.0,0.0,Bean
48,SMI_DUR,0.0,2023-04-18,63.0,10.0,0.0,Bean
49,SMI_DUR,0.0,2023-04-18,,10.0,0.0,Bean
50,SMI_DUR,0.0,2023-04-18,63.0,10.0,0.0,Corn
51,SMI_DUR,0.0,2023-04-18,,10.0,0.0,Corn
52,SMI_CRO,0.0,2023-04-17,0.0,3.0,0.0,Bean
53,SMI_CRO,0.0,2023-04-17,,3.0,0.0,Bean
54,SMI_CRO,0.0,2023-04-17,0.0,10.0,0.0,Corn
55,SMI_CRO,0.0,2023-04-17,,10.0,0.0,Corn
56,SMI_MCC,0.0,2023-04-17,13.0,10.0,0.0,Corn
57,SMI_MCC,0.0,2023-04-17,,10.0,0.0,Corn
58,SMI_MCC,1.0,2023-04-17,13.0,10.0,0.0,Bean
59,SMI_MCC,1.0,2023-04-17,,10.0,0.0,Bean
60,SMI_COB,0.0,2023-04-17,15.0,10.0,0.0,Corn
61,SMI_COB,0.0,2023-04-17,,10.0,0.0,Corn
62,SMI_COB,0.0,2023-04-17,15.0,10.0,0.0,Bean
63,SMI_COB,0.0,2023-04-17,,10.0,0.0,Bean
64,SMI_JOH,0.0,2023-04-18,,10.0,0.0,Bean
65,SMI_JOH,0.0,2023-04-18,20.0,10.0,0.0,Bean
66,SMI_JOH_2,0.0,2023-04-18,,10.0,0.0,Corn
67,SMI_JOH_2,0.0,2023-04-18,88.0,10.0,0.0,Corn
68,SMI_JOH_2,0.0,2023-04-18,,10.0,0.0,Corn
69,SMI_JOH_2,0.0,2023-04-18,88.0,10.0,0.0,Corn
70,SMI_JOH_2,5.0,2023-04-18,,8.0,0.0,Bean
71,SMI_JOH_2,5.0,2023-04-18,88.0,8.0,0.0,Bean
72,STA_COL,0.0,2023-04-20,,10.0,0.0,Corn
73,STA_COL,0.0,2023-04-20,6.0,10.0,0.0,Corn
74,STA_COL,0.0,2023-04-20,,11.0,0.0,Bean
75,STA_COL,0.0,2023-04-20,6.0,11.0,0.0,Bean
76,STA_HEM_2,1.0,2023-04-20,32.0,10.0,1.0,Bean
77,STA_HEM_2,1.0,2023-04-20,,10.0,1.0,Bean
78,STA_HEM_2,0.0,2023-04-20,32.0,10.0,0.0,Corn
79,STA_HEM_2,0.0,2023-04-20,,10.0,0.0,Corn
80,STA_SWE,0.0,2023-04-20,,9.0,0.0,Bean
81,STA_SWE,0.0,2023-04-20,3.0,9.0,0.0,Bean
82,STA_SWE,0.0,2023-04-20,,10.0,0.0,Corn
83,STA_SWE,0.0,2023-04-20,3.0,10.0,0.0,Corn
84,STA_WIL,0.0,2023-04-20,,11.0,0.0,Bean
85,STA_WIL,0.0,2023-04-20,30.0,11.0,0.0,Bean
86,STA_WIL,0.0,2023-04-20,,10.0,0.0,Corn
87,STA_WIL,0.0,2023-04-20,30.0,10.0,0.0,Corn
88,STA_HEM,0.0,2023-04-20,,10.0,0.0,Corn
89,STA_HEM,0.0,2023-04-20,7.0,10.0,0.0,Corn
90,STA_HEM,15.0,2023-04-20,,10.0,0.0,Bean
91,STA_HEM,15.0,2023-04-20,7.0,10.0,0.0,Bean
92,MIL_MCC,0.0,2023-04-27,,10.0,0.0,Corn
93,MIL_MCC,0.0,2023-04-27,133.0,10.0,0.0,Corn
94,MIL_MCC,0.0,2023-04-27,,8.0,0.0,Bean
95,MIL_MCC,0.0,2023-04-27,133.0,8.0,0.0,Bean
96,MIL_YOD,1.0,2023-04-27,,,0.0,Bean
97,MIL_YOD,1.0,2023-04-27,46.0,,0.0,Bean
98,MIL_YOD,0.0,2023-04-27,,10.0,0.0,Corn
99,MIL_YOD,0.0,2023-04-27,46.0,10.0,0.0,Corn
100,MIL_CHA,0.0,2023-04-27,,10.0,0.0,Corn
101,MIL_CHA,0.0,2023-04-27,49.0,10.0,0.0,Corn
102,WIS_MEG,0.0,2023-04-21,,9.0,0.0,Corn
103,WIS_MEG,0.0,2023-04-21,15.0,9.0,0.0,Corn
104,WIS_MEG,2.0,2023-04-21,,6.0,0.0,Bean
105,WIS_MEG,2.0,2023-04-21,15.0,6.0,0.0,Bean
106,WIS_COO,0.0,2023-04-19,,8.0,0.0,Bean
107,WIS_COO,0.0,2023-04-19,1.0,8.0,0.0,Bean
108,WIS_COO,0.0,2023-04-19,,10.0,0.0,Corn
109,WIS_COO,0.0,2023-04-19,1.0,10.0,0.0,Corn
110,WIS_COO_2,0.0,2023-04-19,,11.0,0.0,Corn
111,WIS_COO_2,0.0,2023-04-19,0.0,11.0,0.0,Corn
112,WIS_COO_2,3.0,2023-04-19,,10.0,1.0,Bean
113,WIS_COO_2,3.0,2023-04-19,0.0,10.0,1.0,Bean
